BUSINESS_DATE,HOTEL,ROOMS_AVAILABLE,ROOMS_SOLD,COMP_ROOMS,OCCUPANCY,ADR_EUR,REVENUE_EUR,DOMINANT_SEGMENT
2025-01-01,"Regnum Carya",530,163,0,30.75,306.66,49985.58,Corporate
2025-01-01,"Regnum The Crown",358,163,2,45.53,395.51,63677.11,Group
2025-01-02,"Regnum Carya",530,179,4,33.77,317.57,55574.75,Corporate
2025-01-02,"Regnum The Crown",358,182,2,50.84,410.38,73868.4,Corporate
2025-01-03,"Regnum Carya",530,148,2,27.92,315.76,46100.96,Corporate
2025-01-03,"Regnum The Crown",358,155,1,43.3,374.1,57611.4,Group
2025-01-04,"Regnum Carya",530,234,3,44.15,346.23,79979.13,FIT
2025-01-04,"Regnum The Crown",358,196,3,54.75,415.38,80168.34,Group
2025-01-05,"Regnum Carya",530,187,4,35.28,331.93,60743.19,OTA
2025-01-05,"Regnum The Crown",358,190,3,53.07,402.09,75190.83,Leisure
2025-01-06,"Regnum Carya",530,154,4,29.06,328.31,49246.5,Corporate
2025-01-06,"Regnum The Crown",358,175,2,48.88,397,68681,Group
2025-01-07,"Regnum Carya",530,166,3,31.32,318.78,51961.14,Leisure
2025-01-07,"Regnum The Crown",358,160,2,44.69,393.2,62125.6,Corporate
2025-01-08,"Regnum Carya",530,178,3,33.58,320.54,56094.5,Group
2025-01-08,"Regnum The Crown",358,191,1,53.35,404.3,76817,OTA
2025-01-09,"Regnum Carya",530,159,3,30,321.17,50102.52,Group
2025-01-09,"Regnum The Crown",358,151,4,42.18,372.36,54736.92,Corporate
2025-01-10,"Regnum Carya",530,175,1,33.02,333.27,57988.98,Corporate
2025-01-10,"Regnum The Crown",358,153,3,42.74,381.04,57156,Corporate
2025-01-11,"Regnum Carya",530,233,3,43.96,336.4,77372,Corporate
2025-01-11,"Regnum The Crown",358,176,3,49.16,389.61,67402.53,FIT
2025-01-12,"Regnum Carya",530,241,2,45.47,346.02,82698.78,FIT
2025-01-12,"Regnum The Crown",358,205,2,57.26,423.37,85944.11,Group
2025-01-13,"Regnum Carya",530,213,1,40.19,328.33,69605.96,Leisure
2025-01-13,"Regnum The Crown",358,192,4,53.63,396.4,74523.2,FIT
2025-01-14,"Regnum Carya",530,205,1,38.68,334.46,68229.84,Corporate
2025-01-14,"Regnum The Crown",358,183,4,51.12,385.67,69034.93,OTA
2025-01-15,"Regnum Carya",530,178,3,33.58,319.09,55840.75,Leisure
2025-01-15,"Regnum The Crown",358,174,1,48.6,395.92,68494.16,FIT
2025-01-16,"Regnum Carya",530,164,1,30.94,320.94,52313.22,Leisure
2025-01-16,"Regnum The Crown",358,184,1,51.4,403.49,73838.67,Group
2025-01-17,"Regnum Carya",530,167,3,31.51,310.4,50905.6,FIT
2025-01-17,"Regnum The Crown",358,175,4,48.88,397.92,68044.32,FIT
2025-01-18,"Regnum Carya",530,212,0,40,327.64,69459.68,Group
2025-01-18,"Regnum The Crown",358,217,4,60.61,417.89,89010.57,Corporate
2025-01-19,"Regnum Carya",530,255,2,48.11,351.71,88982.63,Group
2025-01-19,"Regnum The Crown",358,205,2,57.26,396.67,80524.01,FIT
2025-01-20,"Regnum Carya",530,206,3,38.87,341.6,69344.8,Group
2025-01-20,"Regnum The Crown",358,173,2,48.32,382.19,65354.49,Corporate
2025-01-21,"Regnum Carya",530,197,4,37.17,315.56,60903.08,OTA
2025-01-21,"Regnum The Crown",358,210,1,58.66,417.78,87316.02,FIT
2025-01-22,"Regnum Carya",530,201,4,37.92,336.67,66323.99,OTA
2025-01-22,"Regnum The Crown",358,201,3,56.15,414.86,82142.28,Leisure
2025-01-23,"Regnum Carya",530,210,1,39.62,321.5,67193.5,OTA
2025-01-23,"Regnum The Crown",358,204,3,56.98,407.87,81981.87,Corporate
2025-01-24,"Regnum Carya",530,214,3,40.38,343.11,72396.21,Group
2025-01-24,"Regnum The Crown",358,210,2,58.66,422.91,87965.28,OTA
2025-01-25,"Regnum Carya",530,259,3,48.87,345.64,88483.84,FIT
2025-01-25,"Regnum The Crown",358,228,0,63.69,403.58,92016.24,OTA
2025-01-26,"Regnum Carya",530,245,3,46.23,341.56,82657.52,Group
2025-01-26,"Regnum The Crown",358,224,0,62.57,404,90496,Leisure
2025-01-27,"Regnum Carya",530,209,1,39.43,330.44,68731.52,OTA
2025-01-27,"Regnum The Crown",358,185,2,51.68,395.14,72310.62,OTA
2025-01-28,"Regnum Carya",530,232,1,43.77,326.88,75509.28,Leisure
2025-01-28,"Regnum The Crown",358,220,0,61.45,411.11,90444.2,Corporate
2025-01-29,"Regnum Carya",530,189,2,35.66,324.2,60625.4,Leisure
2025-01-29,"Regnum The Crown",358,220,1,61.45,409.02,89575.38,FIT
